name,rating,reviews,service
L&T Technology Services,3.1,(6.7k),IT Services & Consulting | Bengaluru +95 other locations
FIS,3.8,(6.7k),FinTech | Pune +61 other locations
Oracle,3.3,(6.6k),Software Product | Bengaluru +56 other locations
Omega Healthcare,3.8,(6.6k),BPO | Chennai +70 other locations
JLL,4.1,(6.5k),Real Estate | Gurugram +88 other locations
Muthoot Finance,3.7,(6.5k),NBFC | Bengaluru +799 other locations
IIFL Finance,4.0,(6.5k),NBFC | Mumbai +819 other locations
eClerx,3.1,(6.4k),IT Services & Consulting | Pune +33 other locations
Indian Army,4.7,(6.3k),Defence & Aerospace | New Delhi +364 other locations
DMart,3.9,(6.3k),Retail | Mumbai +256 other locations
PolicyBazaar,3.7,(6.3k),Internet | Gurugram +161 other locations
Piramal Finance,4.2,(6.2k),NBFC | Mumbai +436 other locations
Virtusa Consulting Services,3.7,(6.2k),IT Services & Consulting | Hyderabad +56 other locations
Indiamart Intermesh,3.5,(6.2k),Internet | Noida +169 other locations
HSBC Group,3.8,(6.1k),Financial Services | Bengaluru +63 other locations
HCL Group,3.5,(6.1k),IT Services & Consulting | Chennai +97 other locations
SMFG India Credit,3.9,(6.1k),NBFC | Mumbai +610 other locations
Access Healthcare,3.7,(6k),BPO | Chennai +62 other locations
BigBasket,3.9,(5.9k),Internet | Bengaluru +145 other locations
ICICI Lombard General Insurance Company,3.5,(5.9k),Insurance | Mumbai +321 other locations
Siemens,4.0,(5.9k),Industrial Automation | Bengaluru +156 other locations
Manappuram Finance,3.9,(5.9k),NBFC | Bengaluru +663 other locations
Firstsource Solutions,3.5,(5.9k),BPO | Bengaluru +73 other locations
GlobalLogic,3.5,(5.9k),IT Services & Consulting | Hyderabad +62 other locations
Aurobindo Pharma,4.0,(5.9k),Pharma | Hyderabad +117 other locations
Tata Capital,3.9,(5.8k),NBFC | Mumbai +456 other locations
Shapoorji Pallonji Group,4.1,(5.8k),Engineering & Construction | Mumbai +190 other locations
UST,3.7,(5.8k),IT Services & Consulting | Bengaluru +52 other locations
Standard Chartered,3.6,(5.8k),Banking | Chennai +69 other locations
Swiggy,3.7,(5.8k),Internet | Bengaluru +240 other locations
Mahindra Finance,3.8,(5.7k),NBFC | Mumbai +743 other locations
Apollo Hospitals,4.0,(5.7k),Healthcare | Chennai +226 other locations
Udaan,3.9,(5.7k),Internet | Bengaluru +366 other locations
Bosch Global Software Technologies,3.7,(5.7k),IT Services & Consulting | Bengaluru +47 other locations
Citicorp,3.6,(5.6k),Financial Services | Pune +68 other locations
Ashok Leyland,4.0,(5.6k),Automobile | Chennai +265 other locations
Hero MotoCorp,4.1,(5.5k),Automobile | Gurugram +374 other locations
CGI Inc,4.0,(5.5k),IT Services & Consulting | Bengaluru +43 other locations
SBI Cards & Payment Services,3.6,(5.4k),Financial Services | Gurugram +450 other locations
NTT DATA,3.8,(5.4k),IT Services & Consulting | Bengaluru +81 other locations
Cyient,3.6,(5.4k),IT Services & Consulting | Hyderabad +49 other locations
Kalpataru Projects International,4.1,(5.4k),Engineering & Construction | Mumbai +328 other locations
BNY,3.6,(5.4k),Financial Services | Pune +28 other locations
Nagarjuna Construction Company,4.0,(5.3k),Engineering & Construction | Hyderabad +300 other locations
IQVIA,3.7,(5.3k),Clinical Research | Bengaluru +67 other locations
Schneider Electric,4.1,(5.3k),Industrial Automation | Bengaluru +122 other locations
